BFS,11,1,68,404.945
BFS,11,2,68,2295.74
BFS,11,3,68,3148.59
BFS,11,4,68,1382.88
BFS,11,5,68,1666.57
DFS,11,1,68,786.124
DFS,11,2,68,780.12
DFS,11,3,68,790.137
DFS,11,4,68,782.845
DFS,11,5,68,776.62
LowestCost,11,1,68,1806.95
LowestCost,11,2,68,2083.06
LowestCost,11,3,68,2113.51
LowestCost,11,4,68,2079.1
LowestCost,11,5,68,2083.56
BFS,11,1,68,393.01
BFS,11,2,68,2274.44
BFS,11,3,68,3126.83
BFS,11,4,68,1377.56
BFS,11,5,68,1660.77
DFS,11,1,68,781.381
DFS,11,2,68,762.712
DFS,11,3,68,774.821
DFS,11,4,68,770.897
DFS,11,5,68,770.964
LowestCost,11,1,68,1815.85
LowestCost,11,2,68,2089.98
LowestCost,11,3,68,2115.11
LowestCost,11,4,68,2098.24
LowestCost,11,5,68,2081.37
BFS,11,1,68,390.975,12392
BFS,11,2,68,2294.79,12408
BFS,11,3,68,2313.73,12408
BFS,11,4,68,2103.54,12408
BFS,11,5,68,1702.76,12408
DFS,11,1,68,230.141,12408
DFS,11,2,68,228.944,12408
DFS,11,3,68,229.1,12408
DFS,11,4,68,229.471,12408
DFS,11,5,68,227.986,12408
LowestCost,11,1,68,1284.43,12408
LowestCost,11,2,68,1343.81,12408
LowestCost,11,3,68,1469.12,12408
LowestCost,11,4,68,1468.23,12408
LowestCost,11,5,68,1327.4,12408
BFS,11,1,68,387.504,12392
BFS,11,2,68,2231.12,12408
BFS,11,3,68,2277.32,12408
BFS,11,4,68,2136.52,12408
BFS,11,5,68,1718.39,12408
DFS,11,1,68,231.012,12408
DFS,11,2,68,231.503,12408
DFS,11,3,68,233.313,12408
DFS,11,4,68,236.292,12408
DFS,11,5,68,236.703,12408
LowestCost,11,1,68,1309.53,12408
LowestCost,11,2,68,1376.21,12408
LowestCost,11,3,68,1513.01,12408
LowestCost,11,4,68,1521.71,12408
LowestCost,11,5,68,1373.29,12408
