N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
9,1,261,0.4227,0.1309,0.0896,0,0,0
9,1,247,0.1869,0.0716,0.0572,0,0,0
9,1,283,1.6129,0.1696,0.0855,0,0,0
9,1,328,1.1288,0.0993,0.079,0,0,0
9,1,181,1.2628,0.1969,0.222,0,0,0
9,1,232,1.3259,0.1383,0.0582,0,0,0
9,1,278,0.2204,0.1229,0.0978,0,0,0
9,1,295,4.0072,0.236,0.1547,0,0,0
9,1,313,0.9518,0.0784,0.0719,0,0,0
9,1,332,0.3648,0.0834,0.0708,0,0,0
9,1,258,0.8778,0.076,0.0777,0,0,0
9,1,309,4.6902,0.1864,0.1377,0,0,0
9,1,435,0.8711,0.1402,0.0812,0,0,0
9,1,394,1.9325,0.1383,0.0937,0,0,0
9,1,192,0.9646,0.127,0.0595,0,0,0
9,1,325,7.8878,0.2186,0.1543,0,0,0
9,1,321,11.3672,0.405,0.2396,0,0,0
9,1,355,0.2512,0.1199,0.1137,0,0,0
9,1,327,1.1615,0.1739,0.1727,0,0,0
10,1,258,7.7867,0.3355,0.1853,0,0,0
10,1,293,10.358,0.5192,0.9974,0,0,0
10,1,329,24.3578,0.2233,0.1682,0,0,0
10,1,190,33.3338,0.3235,0.1177,0,0,0
10,1,325,0.1956,0.1136,0.0813,0,0,0
10,1,213,13.187,0.3649,0.2347,0,0,0
10,1,279,0.1468,0.1721,0.1389,0,0,0
10,1,419,2.9824,0.2357,0.2326,0,0,0
10,1,328,0.7047,0.3857,0.0906,0,0,0
10,1,401,30.9074,0.4273,0.3163,0,0,0
10,1,460,4.1574,0.402,0.082,0,0,0
10,1,428,7.2289,0.3634,0.2304,0,0,0
10,1,432,10.8791,0.303,0.1066,0,0,0
10,1,273,4.065,0.3479,0.0615,0,0,0
10,1,378,6.522,0.6393,0.2102,0,0,0
10,1,391,0.5157,0.1942,0.0996,0,0,0
10,1,179,2.4263,0.2772,0.0815,0,0,0
10,1,332,10.802,0.4619,0.2769,0,0,0
10,1,322,0.1261,0.0996,0.0557,0,0,0
11,1,294,0.3582,0.2035,0.1405,0,0,0
11,1,345,0.6602,0.1923,0.0681,0,0,0
11,1,282,2.4974,0.1821,0.0816,0,0,0
11,1,312,5.2197,0.306,0.2286,0,0,0
11,1,298,51.1928,0.5536,0.4164,5344,0,0
11,1,221,11.7929,0.2809,0.1736,0,0,0
11,1,434,44.8035,1.3117,0.4756,4236,0,0
11,1,344,57.7811,0.8769,0.9722,5332,0,0
11,1,368,14.3138,0.4352,0.2187,0,0,0
11,1,420,456.076,1.6558,1.1251,59636,0,0
