N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
9,1,357,0.3983,0.1336,0.136,0,0,0
9,1,270,5.7326,0.4437,0.2599,0,0,0
9,1,487,1.2643,0.1837,0.1757,0,0,0
9,1,379,0.3965,0.1617,0.1797,0,0,0
9,1,323,1.7895,0.4947,0.4552,0,0,0
9,1,234,1.2237,0.2862,0.2488,0,0,0
9,1,396,1.174,0.557,0.5824,0,0,0
9,1,268,0.656,0.3963,0.4145,0,0,0
9,1,395,0.2405,0.1788,0.1884,0,0,0
9,1,259,0.3499,0.2269,0.2368,0,0,0
9,1,369,0.4572,0.1845,0.1671,0,0,0
9,1,296,3.1892,0.1922,0.3707,0,0,0
9,1,337,10.0935,0.5323,0.5011,0,0,0
9,1,347,4.9198,0.3565,0.3479,0,0,0
9,1,352,1.4631,0.2204,0.1122,0,0,0
9,1,364,0.2391,0.1398,0.1471,0,0,0
9,1,371,1.1301,0.3634,0.484,0,0,0
9,1,502,3.4643,0.7145,0.7921,0,0,0
9,1,327,0.5932,0.2696,0.2515,0,0,0
9,1,376,4.2324,0.5168,0.6564,0,0,0
10,1,342,0.5826,0.2912,0.2936,0,0,0
10,1,520,39.7656,0.5491,0.401,2944,0,0
10,1,442,3.4771,0.5544,0.5689,0,0,0
10,1,402,5.3491,1.6271,0.8669,0,0,0
10,1,400,1.2768,0.5837,0.8489,0,0,0
10,1,506,1.56,0.6582,0.7426,0,0,0
10,1,358,9.7713,0.9306,0.7753,0,0,0
10,1,318,18.9289,0.5962,0.4113,0,0,0
10,1,437,0.1629,0.1387,0.1422,0,0,0
10,1,494,16.9448,0.8552,1.014,0,0,0
10,1,340,42.4019,0.7463,1.2828,4724,0,0
10,1,465,4.353,0.6637,0.8811,0,0,0
10,1,406,11.8557,0.8573,0.8938,0,0,0
10,1,283,7.8119,0.6247,0.4406,0,0,0
10,1,346,182.795,1.4791,2.1559,24640,0,0
10,1,436,11.2997,0.5894,0.6224,0,0,0
10,1,427,1.0758,0.8695,0.6436,0,0,0
10,1,558,4.892,0.5944,0.5934,0,0,0
10,1,435,10.1134,1.5724,1.2313,0,0,0
10,1,263,15.5938,0.3714,0.1388,0,0,0
11,1,434,21.1735,1.1881,1.6031,0,0,0
11,1,392,2.8209,0.9628,0.8682,0,0,0
11,1,476,10.9655,1.9027,1.5586,0,0,0
11,1,534,17.8366,1.5195,2.449,0,0,0
11,1,324,4.6731,1.2704,0.8428,0,0,0
11,1,254,300.471,2.3053,3.3687,36092,0,0
11,1,480,39.0324,5.3281,1.9352,3456,0,0
11,1,356,2.8392,1.1743,1.6894,0,0,0
11,1,552,19.591,0.725,1.0523,0,0,0
11,1,484,38.11,2.0859,2.6338,2172,0,0
11,1,475,0.5083,0.507,0.8405,0,0,0
11,1,389,0.7647,0.6585,0.8728,0,0,0
11,1,271,17.9945,2.106,2.2736,0,0,0
11,1,374,2.7684,0.953,1.2156,0,0,0
11,1,351,188.714,3.5559,2.4555,18408,0,0
11,1,283,12.9422,0.8754,0.5816,0,0,0
11,1,268,5.7196,1.0828,1.2391,0,0,0
11,1,437,12.0942,1.4335,1.8691,0,0,0
11,1,300,12.7635,1.6066,2.9066,0,0,0
11,1,428,11.47,2.9237,4.2505,0,0,0
12,1,398,453.669,4.7717,3.6794,46768,0,0
12,1,492,49.0454,1.4638,1.7992,4220,0,0
12,1,539,22.6397,6.5109,8.5281,0,0,0
12,1,207,291.227,2.2783,2.8834,29404,0,0
12,1,327,9.8178,1.6291,0.6586,0,0,0
12,1,375,1363.27,2.8612,5.3423,155700,0,0
12,1,430,2767.4,1.958,2.8894,324840,0,0
12,1,276,326.954,7.4975,5.9038,28652,0,0
12,1,385,785.874,5.3999,8.7941,73400,0,0
12,1,348,30.5211,4.4224,3.6385,0,0,0
12,1,417,2.8284,2.4112,2.408,0,0,0
12,1,529,1502.93,4.9884,6.6928,168736,0,0
12,1,156,135.895,2.7946,0.9573,12628,0,0
12,1,403,133.96,5.4224,4.5626,12772,0,0
12,1,479,49.7965,2.8146,1.5917,4328,0,0
12,1,393,80.2104,3.2843,4.9929,5812,0,0
12,1,379,178.642,2.9257,2.4013,16032,0,0
12,1,397,31.9192,6.6918,10.6388,0,0,0
12,1,302,133.491,1.9769,3.476,9560,0,0
12,1,240,9.311,2.5477,2.1637,0,0,0
13,1,464,76.8605,9.02,4.6425,4808,0,0
13,1,297,182.061,3.5433,2.481,12544,0,0
13,1,360,25.9506,7.8198,9.9392,0,0,0
13,1,305,4.0045,1.1858,1.1479,0,0,0
13,1,610,267.56,11.8182,12.3824,19372,0,0
13,1,416,11037.2,25.2007,27.9043,1175660,0,13836
13,1,336,7316.21,7.3388,5.4365,789772,0,0
13,1,450,631.504,3.5525,3.4126,46956,0,0
13,1,510,167.386,4.0136,4.4505,12956,0,0
13,1,486,3155.19,17.56,36.9401,292296,88,16724
13,1,163,1757.47,8.3683,5.2952,165876,0,0
13,1,396,2.2927,2.2588,2.1728,0,0,0
13,1,453,190.704,11.5361,7.1875,14684,0,0
13,1,417,2422.17,15.3639,35.5015,212776,0,18620
13,1,520,1523.52,6.5305,12.3567,127516,0,0
13,1,359,1139.17,6.6479,2.5302,91028,0,0
13,1,299,744.891,3.7805,0.9141,60224,0,0
13,1,515,140.645,17.1989,13.1026,10484,0,0
13,1,501,501.12,5.9716,2.7124,39536,0,0
14,1,407,68.3775,5.5844,6.837,4112,0,0
14,1,306,132.559,3.2124,1.9487,7492,0,0
14,1,522,1828.32,10.5113,17.5914,137324,0,0
14,1,405,75.5261,11.584,12.2968,4368,0,0
14,1,482,10640.7,24.657,42.1131,881028,104,21680
15,1,397,171.337,67.3106,65.7581,10432,824,11924
15,1,525,36642.4,79.1606,190.156,2960464,328,90760
15,1,317,36190,35.0196,42.4309,2893084,156,18272
15,1,349,2756.83,24.8619,22.7523,203284,0,0
15,1,580,101350,270.19,774.107,6901232,1044,331436
