    Instance,Size,Repetition,CoolingScheme,UseUB,EpochLen,Alpha,InitTemp,LB(MST),InitCost(UB),BestCost,Time(ms),Memory(KB)
    GEN_ATSP_20,20,1,Geometric,Yes,100,0.99,0,599,2679,2679,90.1199,5312
    GEN_ATSP_20,20,2,Geometric,Yes,100,0.99,0,599,2679,2679,90.1122,5368
    GEN_ATSP_20,20,3,Geometric,Yes,100,0.99,0,599,2679,2600,90.358,5368
    GEN_ATSP_20,20,4,Geometric,Yes,100,0.99,0,599,2679,2679,89.0733,5368
    GEN_ATSP_20,20,5,Geometric,Yes,100,0.99,0,599,2679,2679,89.8244,5368
    GEN_ATSP_20,20,6,Geometric,Yes,100,0.99,0,599,2679,2438,88.5383,5844
    GEN_ATSP_20,20,7,Geometric,Yes,100,0.99,0,599,2679,2389,88.9877,5844
    GEN_ATSP_20,20,8,Geometric,Yes,100,0.99,0,599,2679,2647,89.1532,5844
    GEN_ATSP_20,20,9,Geometric,Yes,100,0.99,0,599,2679,2584,89.6854,5844
    GEN_ATSP_20,20,10,Geometric,Yes,100,0.99,0,599,2679,2444,89.7276,5844
