Instance,Size,Repetition,CoolingScheme,UseUB,EpochLen,Alpha,InitTemp,LB(MST),InitCost(UB),BestCost,Time(ms),Memory(KB)
GEN_ATSP_20,20,1,Geometric,Yes,100,0.99,10000,959,2193,2193,73.8048,5312
GEN_ATSP_20,20,2,Geometric,Yes,100,0.99,10000,959,2193,2193,74.8685,5368
GEN_ATSP_20,20,3,Geometric,Yes,100,0.99,10000,959,2193,2193,73.9987,5368
GEN_ATSP_20,20,4,Geometric,Yes,100,0.99,10000,959,2193,2193,73.8859,5368
GEN_ATSP_20,20,5,Geometric,Yes,100,0.99,10000,959,2193,2157,75.8444,5368
GEN_ATSP_20,20,6,Geometric,Yes,100,0.99,10000,959,2193,2193,74.5925,5368
GEN_ATSP_20,20,7,Geometric,Yes,100,0.99,10000,959,2193,2193,73.7112,5368
GEN_ATSP_20,20,8,Geometric,Yes,100,0.99,10000,959,2193,2193,75.348,5368
GEN_ATSP_20,20,9,Geometric,Yes,100,0.99,10000,959,2193,2193,75.3093,5368
GEN_ATSP_20,20,10,Geometric,Yes,100,0.99,10000,959,2193,2193,74.0474,5368
GEN_ATSP_20,20,1,Geometric,Yes,1000,0.99,0,872,2109,1916,871.935,6336
GEN_ATSP_20,20,2,Geometric,Yes,1000,0.99,0,872,2109,2104,878.123,6396
GEN_ATSP_20,20,3,Geometric,Yes,1000,0.99,0,872,2109,2109,871.956,6396
GEN_ATSP_20,20,4,Geometric,Yes,1000,0.99,0,872,2109,2003,864.683,6396
GEN_ATSP_20,20,5,Geometric,Yes,1000,0.99,0,872,2109,2109,864.599,6396
GEN_ATSP_20,20,6,Geometric,Yes,1000,0.99,0,872,2109,2028,863.438,6396
GEN_ATSP_20,20,7,Geometric,Yes,1000,0.99,0,872,2109,2070,864.044,6396
GEN_ATSP_20,20,8,Geometric,Yes,1000,0.99,0,872,2109,2109,863.261,6396
GEN_ATSP_20,20,9,Geometric,Yes,1000,0.99,0,872,2109,2109,872.749,6396
GEN_ATSP_20,20,10,Geometric,Yes,1000,0.99,0,872,2109,2044,876.062,6396
GEN_ATSP_20,20,1,Geometric,No,1000,0.99,0,528,-20,1993,812.516,5868
GEN_ATSP_20,20,2,Geometric,No,1000,0.99,0,528,-20,1722,812.175,5932
GEN_ATSP_20,20,3,Geometric,No,1000,0.99,0,528,-20,1872,808.973,5932
GEN_ATSP_20,20,4,Geometric,No,1000,0.99,0,528,-20,1873,823.089,5932
GEN_ATSP_20,20,5,Geometric,No,1000,0.99,0,528,-20,1915,837.064,5932
GEN_ATSP_20,20,6,Geometric,No,1000,0.99,0,528,-20,1951,827.204,5932
GEN_ATSP_20,20,7,Geometric,No,1000,0.99,0,528,-20,1904,798.914,5932
GEN_ATSP_20,20,8,Geometric,No,1000,0.99,0,528,-20,1834,822.388,5932
GEN_ATSP_20,20,9,Geometric,No,1000,0.99,0,528,-20,1969,811.842,5932
GEN_ATSP_20,20,10,Geometric,No,1000,0.99,0,528,-20,2057,830.474,5932
